studyName,"Sample Number",Species,Region,Island,Stage,"Individual ID","Clutch Completion","Date Egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)",Sex,"Delta 15 N (o/oo)","Delta 13 C (o/oo)",Comments
PAL0708,1,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N31A1,Yes,2007-11-27,46.1,13.2,211,4500,FEMALE,7.99300,-25.51390,
PAL0708,2,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N31A2,Yes,2007-11-27,50.0,16.3,230,5700,MALE,8.14756,-25.39369,
PAL0708,3,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,Yes,2007-11-27,48.7,14.1,210,4450,FEMALE,8.14705,-25.46172,
PAL0708,4,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,2007-11-27,50.0,15.2,218,5700,MALE,8.25540,-25.40075,
PAL0708,5,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N33A1,Yes,2007-11-18,47.6,14.5,215,5400,MALE,8.23450,-25.54456,
PAL0708,6,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N33A2,Yes,2007-11-18,46.5,13.5,210,4550,FEMALE,7.99530,-25.32829,
PAL0708,7,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,2007-11-27,45.4,14.6,211,4800,FEMALE,8.24515,-25.46782,
PAL0708,8,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,2007-11-27,46.7,15.3,219,5200,MALE,8.22673,-25.42760,
PAL0708,9,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N35A1,Yes,2007-11-27,43.3,13.4,209,4400,FEMALE,8.13643,-25.32176,
PAL0708,10,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,2007-11-27,46.8,15.4,215,5150,MALE,8.16310,-25.38017,
PAL0708,11,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,No,2007-11-27,40.9,13.7,214,4650,FEMALE,8.19579,-25.39330,"Nest never observed with full clutch."
PAL0708,12,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N36A2,No,2007-11-27,49.0,16.1,216,5550,MALE,8.10417,-25.50562,"Nest never observed with full clutch."
PAL0708,13,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N37A1,Yes,2007-11-29,45.5,13.7,214,4650,FEMALE,7.77672,-25.41680,
PAL0708,14,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N37A2,Yes,2007-11-29,48.4,14.6,213,5850,MALE,7.82080,-25.48025,
PAL0708,15,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,Yes,2007-12-03,45.8,14.6,210,4200,FEMALE,7.79958,-25.62618,
PAL0708,16,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N38A2,Yes,2007-12-03,49.3,15.7,217,5850,MALE,8.07137,-25.52473,
PAL0708,17,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N39A1,Yes,2007-11-27,42.0,13.5,210,4150,FEMALE,7.63884,-25.52627,
PAL0708,18,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,2007-11-27,49.2,15.2,221,6300,MALE,8.27376,-25.00169,
PAL0708,19,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N40A1,Yes,2007-11-27,46.2,14.5,209,4800,FEMALE,7.84057,-25.37899,
PAL0708,20,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N40A2,Yes,2007-11-27,48.7,15.1,222,5350,MALE,7.96491,-25.39587,
PAL0708,21,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N41A1,Yes,2007-11-27,50.2,14.3,218,5700,MALE,7.89620,-25.37746,
PAL0708,22,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N41A2,Yes,2007-11-27,45.1,14.5,215,5000,FEMALE,7.63220,-25.46569,
PAL0708,23,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N42A1,Yes,2007-11-27,46.5,14.5,213,4400,FEMALE,7.90436,-25.39470,
PAL0708,24,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N42A2,Yes,2007-11-27,46.3,15.8,215,5050,MALE,7.90971,-25.38157,
PAL0708,25,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N44A1,Yes,2007-11-29,42.9,13.1,215,5000,FEMALE,7.68528,-25.39181,
PAL0708,26,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N44A2,Yes,2007-11-29,46.1,15.1,215,5100,MALE,7.83733,-25.42826,
PAL0708,27,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N46A1,Yes,2007-11-29,44.5,14.3,216,4100,,7.96621,-25.69327,"Sexing primers did not amplify."
PAL0708,28,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N46A2,Yes,2007-11-29,47.8,15.0,215,5650,MALE,7.92358,-25.48383,
PAL0708,29,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,2007-11-29,48.2,14.3,210,4600,FEMALE,7.68870,-25.50811,
PAL0708,30,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,2007-11-29,50.0,15.3,220,5550,MALE,8.30515,-25.19017,
PAL0708,31,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N50A1,Yes,2007-11-29,47.3,15.3,222,5250,MALE,,,"Not enough blood for isotopes."
PAL0708,32,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N50A2,Yes,2007-11-29,42.8,14.2,209,4700,FEMALE,7.63452,-25.46327,
PAL0708,33,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,2007-12-03,45.1,14.5,207,5050,FEMALE,7.97408,-25.53768,
PAL0708,34,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,2007-12-03,59.6,17.0,230,6050,MALE,7.76843,-25.68210,
PAL0809,35,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N2A1,Yes,2008-11-13,49.1,14.8,220,5150,FEMALE,7.89744,-26.63405,
PAL0809,36,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N2A2,Yes,2008-11-13,48.4,16.3,220,5400,MALE,8.03659,-26.86127,
PAL0809,37,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N4A1,Yes,2008-11-02,42.6,13.7,213,4950,FEMALE,7.96935,-26.70968,
PAL0809,38,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N4A2,Yes,2008-11-02,44.4,17.3,219,5250,MALE,8.13746,-26.79093,
PAL0809,39,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N5A1,Yes,2008-11-09,44.0,13.6,208,4350,FEMALE,8.01979,-26.68311,
PAL0809,40,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N5A2,Yes,2008-11-09,48.7,15.7,208,5350,MALE,8.14776,-26.84506,
PAL0809,41,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N6A1,No,2008-11-04,42.7,13.7,208,3950,FEMALE,8.14567,-26.59467,"Nest never observed with full clutch."
PAL0809,42,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N6A2,No,2008-11-04,49.6,16.0,225,5700,MALE,8.38324,-26.84272,"Nest never observed with full clutch."
PAL0809,43,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N7A1,Yes,2008-11-04,45.3,13.7,210,4300,FEMALE,8.37615,-26.72791,
PAL0809,44,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N7A2,Yes,2008-11-04,49.6,15.0,216,4750,MALE,8.26548,-26.76990,
PAL0809,45,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,2008-11-03,50.5,15.9,222,5550,MALE,8.46894,-26.60436,
PAL0809,46,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,2008-11-03,43.6,13.9,217,4900,FEMALE,8.27141,-26.77650,
PAL0809,47,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,No,2008-11-09,45.5,13.9,210,4200,FEMALE,8.47829,-26.61788,"Nest never observed with full clutch."
PAL0809,48,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,No,2008-11-09,50.5,15.9,225,5400,MALE,8.65803,-26.57585,"Nest never observed with full clutch."
PAL0809,49,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,2008-11-02,44.9,13.3,213,5100,FEMALE,8.45167,-26.89644,
PAL0809,50,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,2008-11-02,45.2,15.8,215,5300,MALE,8.55868,-26.67799,
PAL0809,51,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2008-11-04,46.6,14.2,210,4850,FEMALE,8.38289,-26.86352,
PAL0809,52,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2008-11-04,48.5,14.1,220,5300,MALE,8.39867,-26.79358,
PAL0809,53,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,2008-11-04,45.1,14.4,210,4400,FEMALE,8.51951,-27.01854,
PAL0809,54,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N14A2,Yes,2008-11-04,50.1,15.0,225,5000,MALE,8.50153,-26.61414,
PAL0809,55,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N15A1,Yes,2008-11-04,46.5,14.4,217,4900,FEMALE,8.48789,-26.83006,
PAL0809,56,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N15A2,Yes,2008-11-04,45.0,15.4,220,5050,MALE,8.63488,-26.75621,
PAL0809,57,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N16A1,Yes,2008-11-03,43.8,13.9,208,4300,FEMALE,8.58319,-26.84415,
PAL0809,58,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N16A2,Yes,2008-11-03,45.5,15.0,220,5000,MALE,8.63604,-26.74890,
PAL0809,59,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,2008-11-06,43.2,14.5,208,4450,FEMALE,8.48367,-26.86485,
PAL0809,60,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,2008-11-06,50.4,15.3,224,5550,MALE,8.74647,-26.79846,
PAL0809,61,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,2008-11-03,45.3,13.8,208,4200,FEMALE,8.65015,-26.79053,
PAL0809,62,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,2008-11-03,46.2,14.9,221,5300,MALE,8.60092,-26.84374,
PAL0809,63,"Gentoo penguin (Pygoscelis papua)",Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,2008-11-13,45.7,13.9,214,4400,FEMALE,8.62870,-26.60484,
