SubjectNumber	Condition	NumberStickers	NumberEnvelopes	Gender	Agemonths	Ageyears	Agegroups	Subject'sEnvelope	LeftEnvelope	RightEnvelope	absolutenumberofstickersgiven(Conditions1or3:Outof12;Conditions2or4:Outof30)	PercentGiven(Outof100percent)	Giveornot	LargerEnvelopeabs	LargeEnvelopepercent	SmallerEnvelopeabs	SmallEnvelopepercent
"[Included Sample Only]"	"1=12:1; 2=12:2, 3=30:1, 4=30:2"	"1=12; 2=30"	"1=1 recipient; 2=2 recipients"	"1=female; 2=male"			"1=3-4yrs; 2=5-6yrs; 3=7-8yrs; 4=9-11yrs"	"How many stickers did the child keep for themselves (Raw number)"	"1 recipient conditions: How many stickers the subject put in the recipient's envelope; 2 recipient conditions: How many stickers the subject put in the recipient's envelope to their left."	"1 recipient conditions: N/A; 2 recipient conditions: The number of stickers the subject put in the recipient's envelope to their right."	"Regardless of condition, the number of stickers the participant placed in the recipient(s) envelope(s); Raw number"	"Regardless of condition, the proportion of stickers the participant placed in the recipient(s) envelope(s)"	"1=Donated 1 or more stickers to the recipient(s); 0=Did not donate any stickers, kept all stickers for themsleves. "	"Raw number of stickers (out of 30: Condition 2 or 4 only) placed in one of the two recipients' envelopes; the larger of the two values. "	"Proportion of stickers (out of 100%; Condition 2 or 4 only) placed in one of the two recipients' envelopes; the larger of the two values. "	"Raw number of stickers (out of 30: Condition 2 or 4 only) placed in one of the two recipients' envelopes; the smaller of the two values. "	"Proportion of stickers (out of 100%; Condition 2 or 4 only) placed in one of the two recipients' envelopes; the smaller of the two values. "
"1"	"1"	"1"	"1"	"1"	36.0	3.0	"1"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"2"	"1"	"1"	"1"	"2"	36.0	3.0	"1"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"3"	"1"	"1"	"1"	"2"	36.0	3.0	"1"	"4"	"8"	""	"8"	"0.67"	"1"	""	""	""	""
"4"	"1"	"1"	"1"	"1"	36.0	3.0	"1"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"5"	"1"	"1"	"1"	"2"	36.0	3.0	"1"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"6"	"1"	"1"	"1"	"2"	36.0	3.0	"1"	"8"	"4"	""	"4"	"0.33"	"1"	""	""	""	""
"7"	"2"	"1"	"2"	"1"	36.0	3.0	"1"	"8"	"2"	"2"	"4"	"0.33"	"1"	"2"	"0.5"	"2"	"0.5"
"8"	"2"	"1"	"2"	"2"	36.0	3.0	"1"	"11"	"1"	"0"	"1"	"0.08"	"1"	"1"	"1"	"0"	"0"
"9"	"3"	"2"	"1"	"2"	36.0	3.0	"1"	"26"	"4"	""	"4"	"0.13"	"1"	""	""	""	""
"10"	"3"	"2"	"1"	"2"	36.0	3.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"11"	"3"	"2"	"1"	"2"	36.0	3.0	"1"	"12"	"18"	""	"18"	"0.6"	"1"	""	""	""	""
"12"	"3"	"2"	"1"	"1"	36.0	3.0	"1"	"12"	"18"	""	"18"	"0.6"	"1"	""	""	""	""
"13"	"3"	"2"	"1"	"1"	36.0	3.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"14"	"4"	"2"	"2"	"1"	36.0	3.0	"1"	"19"	"11"	"5"	"16"	"0.53"	"1"	"11"	"0.6875"	"5"	"0.3125"
"15"	"4"	"2"	"2"	"2"	36.0	3.0	"1"	"23"	"6"	"1"	"7"	"0.23"	"1"	"6"	"0.8571428571428571"	"1"	"0.14285714285714285"
"16"	"4"	"2"	"2"	"1"	36.0	3.0	"1"	"13"	"10"	"7"	"17"	"0.56999999999999995"	"1"	"10"	"0.58823529411764708"	"7"	"0.41176470588235292"
"17"	"4"	"2"	"2"	"1"	36.0	3.0	"1"	"15"	"15"	"0"	"15"	"0.5"	"1"	"15"	"1"	"0"	"0"
"18"	"3"	"2"	"1"	"1"	37.0	3.0	"1"	"22"	"10"	""	"10"	"0.33"	"1"	""	""	""	""
"19"	"3"	"2"	"1"	"2"	37.0	3.0	"1"	"10"	"20"	""	"20"	"0.67"	"1"	""	""	""	""
"20"	"4"	"2"	"2"	"2"	38.0	3.0	"1"	"19"	"5"	"6"	"11"	"0.37"	"1"	"6"	"0.54545454545454541"	"5"	"0.45454545454545453"
"21"	"2"	"1"	"2"	"2"	39.0	3.0	"1"	"11"	"1"	"0"	"1"	"0.08"	"1"	"1"	"1"	"0"	"0"
"22"	"2"	"1"	"2"	"2"	39.0	3.0	"1"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"23"	"2"	"1"	"2"	"2"	39.0	3.0	"1"	"10"	"2"	"0"	"2"	"0.17"	"1"	"2"	"1"	"0"	"0"
"24"	"3"	"2"	"1"	"2"	39.0	3.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"25"	"4"	"2"	"2"	"1"	39.0	3.0	"1"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"26"	"1"	"1"	"1"	"1"	40.0	3.0	"1"	"11"	"1"	""	"1"	"0.08"	"1"	""	""	""	""
"27"	"2"	"1"	"2"	"1"	40.0	3.0	"1"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"28"	"2"	"1"	"2"	"2"	40.0	3.0	"1"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"29"	"3"	"2"	"1"	"2"	40.0	3.0	"1"	"26"	"4"	""	"4"	"0.13"	"1"	""	""	""	""
"30"	"3"	"2"	"1"	"1"	40.0	3.0	"1"	"22"	"8"	""	"8"	"0.27"	"1"	""	""	""	""
"31"	"3"	"2"	"1"	"2"	40.0	3.0	"1"	"21"	"9"	""	"9"	"0.3"	"1"	""	""	""	""
"32"	"1"	"1"	"1"	"1"	41.0	3.0	"1"	"9"	"3"	""	"3"	"0.25"	"1"	""	""	""	""
"33"	"2"	"1"	"2"	"1"	41.0	3.0	"1"	"4"	"4"	"4"	"8"	"0.67"	"1"	"4"	"0.5"	"4"	"0.5"
"34"	"4"	"2"	"2"	"1"	41.0	3.0	"1"	"11"	"9"	"10"	"19"	"0.63"	"1"	"10"	"0.52631578947368418"	"9"	"0.47368421052631576"
"35"	"4"	"2"	"2"	"2"	41.0	3.0	"1"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"36"	"2"	"1"	"2"	"1"	42.0	3.0	"1"	"11"	"1"	"0"	"1"	"0.08"	"1"	"1"	"1"	"0"	"0"
"37"	"4"	"2"	"2"	"1"	42.0	3.0	"1"	"25"	"3"	"2"	"5"	"0.17"	"1"	"3"	"0.6"	"2"	"0.4"
"38"	"2"	"1"	"2"	"2"	43.0	3.0	"1"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"39"	"4"	"2"	"2"	"2"	43.0	3.0	"1"	"13"	"11"	"6"	"17"	"0.56999999999999995"	"1"	"11"	"0.6470588235294118"	"6"	"0.35294117647058826"
"40"	"2"	"1"	"2"	"2"	44.0	3.0	"1"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"41"	"1"	"1"	"1"	"1"	45.0	3.0	"1"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"42"	"2"	"1"	"2"	"1"	45.0	3.0	"1"	"11"	"1"	"0"	"1"	"0.08"	"1"	"1"	"1"	"0"	"0"
"43"	"3"	"2"	"1"	"1"	45.0	3.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"44"	"4"	"2"	"2"	"2"	45.0	3.0	"1"	"12"	"18"	"0"	"18"	"0.6"	"1"	"18"	"1"	"0"	"0"
"45"	"4"	"2"	"2"	"1"	45.0	3.0	"1"	"19"	"7"	"4"	"11"	"0.37"	"1"	"7"	"0.63636363636363635"	"4"	"0.36363636363636365"
"46"	"1"	"1"	"1"	"1"	46.0	3.0	"1"	"4"	"8"	""	"8"	"0.67"	"1"	""	""	""	""
"47"	"2"	"1"	"2"	"2"	46.0	3.0	"1"	"9"	"2"	"1"	"3"	"0.25"	"1"	"2"	"0.66666666666666663"	"1"	"0.33333333333333331"
"48"	"3"	"2"	"1"	"1"	46.0	3.0	"1"	"16"	"14"	""	"14"	"0.47"	"1"	""	""	""	""
"49"	"3"	"2"	"1"	"2"	46.0	3.0	"1"	"11"	"19"	""	"19"	"0.63"	"1"	""	""	""	""
"50"	"4"	"2"	"2"	"1"	46.0	3.0	"1"	"25"	"4"	"1"	"5"	"0.17"	"1"	"4"	"0.8"	"1"	"0.2"
"51"	"1"	"1"	"1"	"1"	47.0	3.0	"1"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"52"	"3"	"2"	"1"	"2"	47.0	3.0	"1"	"28"	"2"	""	"2"	"7.0000000000000007E-2"	"1"	""	""	""	""
"53"	"1"	"1"	"1"	"1"	48.0	4.0	"1"	"8"	"4"	""	"4"	"0.33"	"1"	""	""	""	""
"54"	"1"	"1"	"1"	"1"	48.0	4.0	"1"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"55"	"1"	"1"	"1"	"2"	48.0	4.0	"1"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"56"	"1"	"1"	"1"	"2"	48.0	4.0	"1"	"4"	"8"	""	"8"	"0.67"	"1"	""	""	""	""
"57"	"1"	"1"	"1"	"1"	48.0	4.0	"1"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"58"	"1"	"1"	"1"	"1"	48.0	4.0	"1"	"10"	"2"	""	"2"	"0.17"	"1"	""	""	""	""
"59"	"2"	"1"	"2"	"1"	48.0	4.0	"1"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"60"	"2"	"1"	"2"	"1"	48.0	4.0	"1"	"10"	"2"	"0"	"2"	"0.17"	"1"	"2"	"1"	"0"	"0"
"61"	"2"	"1"	"2"	"2"	48.0	4.0	"1"	"10"	"1"	"1"	"2"	"0.17"	"1"	"1"	"0.5"	"1"	"0.5"
"62"	"3"	"2"	"1"	"1"	48.0	4.0	"1"	"23"	"7"	""	"7"	"0.23"	"1"	""	""	""	""
"63"	"3"	"2"	"1"	"1"	48.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"64"	"3"	"2"	"1"	"2"	48.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"65"	"3"	"2"	"1"	"2"	48.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"66"	"3"	"2"	"1"	"1"	48.0	4.0	"1"	"27"	"3"	""	"3"	"0.1"	"1"	""	""	""	""
