series,baker_full,baker,age,occupation,hometown,baker_last,baker_first,star_baker,technical_winner,technical_top3,technical_bottom,technical_highest,technical_lowest,technical_median,series_winner,series_runner_up,total_episodes_appeared,first_date_appeared,last_date_appeared,first_date_us,last_date_us,percent_episodes_appeared,percent_technical_top3
1,Annetha Mills,Annetha,30,Single mother,Essex,Mills,Annetha,0,0,1,1,2,7,4.5,0,0,2,2010-08-17,2010-08-24,NA,NA,33.333333333333336,50
1,David Chambers,David,31,Entrepreneur,Milton Keynes,Chambers,David,0,0,1,3,3,8,4.5,0,0,4,2010-08-17,2010-09-07,NA,NA,66.66666666666667,25
1,"Edward ""Edd"" Kimber",Edd,24,Debt collector for Yorkshire Bank,Bradford,Kimber,Edward,0,2,4,1,1,6,2,1,0,6,2010-08-17,2010-09-21,NA,NA,100,66.66666666666667
1,Jasminder Randhawa,Jasminder,45,Assistant Credit Control Manager,Birmingham,Randhawa,Jasminder,0,0,2,2,2,5,3,0,0,5,2010-08-17,2010-09-14,NA,NA,83.33333333333333,40
1,Jonathan Shepherd,Jonathan,25,Research Analyst,St Albans,Shepherd,Jonathan,0,1,1,2,1,9,6,0,0,3,2010-08-17,2010-08-31,NA,NA,50,33.333333333333336
1,Lea Harris,Lea,51,Retired,"Midlothian, Scotland",Harris,Lea,0,0,0,1,10,10,10,0,0,1,2010-08-17,2010-08-17,NA,NA,16.666666666666668,0
1,Louise Brimelow,Louise,44,Police Officer,Manchester,Brimelow,Louise,0,0,0,1,4,4,4,0,0,2,2010-08-17,2010-08-24,NA,NA,33.333333333333336,0
1,Mark Whithers,Mark,48,Bus Driver,South Wales,Whithers,Mark,0,0,0,0,NA,NA,NA,0,0,1,2010-08-17,2010-08-17,NA,NA,16.666666666666668,0
1,Miranda Gore Browne,Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Browne,Miranda,0,2,4,1,1,8,3,0,1,6,2010-08-17,2010-09-21,NA,NA,100,66.66666666666667
1,Ruth Clemens,Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",Clemens,Ruth,0,0,2,2,2,5,3.5,0,1,6,2010-08-17,2010-09-21,NA,NA,100,33.333333333333336
2,Ben Frazer,Ben,31,Graphic Designer,Northampton,Frazer,Ben,0,1,3,1,1,5,2.5,0,0,4,2011-08-16,2011-09-06,NA,NA,50,75
2,Holly Bell,Holly,31,Advertising executive,Leicester,Bell,Holly,2,2,5,3,1,6,3,0,1,8,2011-08-16,2011-10-04,NA,NA,100,62.5
2,Ian Vallance,Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Vallance,Ian,0,0,1,2,2,10,10,0,0,3,2011-08-16,2011-08-30,NA,NA,37.5,33.333333333333336
2,Janet Basu,Janet,63,Teacher of Modern Languages,"Formby, Liverpool",Basu,Janet,1,1,1,6,1,8,5,0,0,7,2011-08-16,2011-09-27,NA,NA,87.5,14.285714285714286
2,Jason White,Jason,19,Civil Engineering Student,Croydon,White,Jason,2,1,2,3,1,7,6,0,0,5,2011-08-16,2011-09-13,NA,NA,62.5,40
2,Joanne Wheatley,Joanne,41,Housewife,"Ongar, Essex",Wheatley,Joanne,1,3,4,4,1,11,4.5,1,0,8,2011-08-16,2011-10-04,NA,NA,100,50
2,Keith Batsford,Keith,31,House husband,"Arlesey, Bedfordshire",Batsford,Keith,0,0,0,1,12,12,12,0,0,1,2011-08-16,2011-08-16,NA,NA,12.5,0
2,Mary-Anne Boermans,Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",Boermans,Mary-Anne,0,0,4,4,2,9,3.5,0,1,8,2011-08-16,2011-10-04,NA,NA,100,50
2,Robert Billington,Robert,25,Photographer,London,Billington,Robert,0,0,2,3,3,7,4,0,0,5,2011-08-16,2011-09-13,NA,NA,62.5,40
2,Simon Blackwell,Simon,31,Rugby Coach,Norfolk,Blackwell,Simon,0,0,0,2,9,11,10,0,0,2,2011-08-16,2011-08-23,NA,NA,25,0
2,Urvashi Roe,Urvashi,40,Head of Marketing,"Enfield, London",Roe,Urvashi,0,0,0,3,7,9,7,0,0,3,2011-08-16,2011-08-30,NA,NA,37.5,0
2,Yasmin Limbert,Yasmin,43,Childminder,"West Kirby, The Wirral",Limbert,Yasmin,1,0,2,4,2,6,5,0,0,6,2011-08-16,2011-09-20,NA,NA,75,33.333333333333336
3,Brendan Lynch,Brendan,63,Recruitment consultant,Sutton Coldfield,Lynch,Brendan,2,2,6,4,1,10,3,0,1,10,2012-08-14,2012-10-16,NA,NA,100,60
3,Cathryn Dresser,Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",Dresser,Cathryn,0,1,4,4,1,8,4,0,0,8,2012-08-14,2012-10-02,NA,NA,80,50
3,Danny (Daniele) Bryden,Danny,45,Intensive care consultant,Sheffield,Bryden,Danny,1,0,5,4,2,7,3,0,0,9,2012-08-14,2012-10-09,NA,NA,90,55.55555555555556
3,James Morton,James,21,Medical student,"Hillswick, Shetland Islands",Morton,James,3,5,7,3,1,7,1.5,0,1,10,2012-08-14,2012-10-16,NA,NA,100,70
3,John Whaite,John,23,Law student,Wigan,Whaite,John,1,1,6,4,1,11,3,1,0,10,2012-08-14,2012-10-16,NA,NA,100,60
3,Manisha Parmar,Manisha,27,Nursery nurse,Leicester,Parmar,Manisha,0,0,0,5,5,10,6,0,0,5,2012-08-14,2012-09-11,NA,NA,50,0
