studyName,"Sample Number",Species,Region,Island,Stage,"Individual ID","Clutch Completion","Date Egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)",Sex,"Delta 15 N (o/oo)","Delta 13 C (o/oo)",Comments
PAL0708,1,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N1A1,Yes,2007-11-11,39.1,18.7,181,3750,MALE,,,"Not enough blood for isotopes."
PAL0708,2,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N1A2,Yes,2007-11-11,39.5,17.4,186,3800,FEMALE,8.94956,-24.69454,
PAL0708,3,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N2A1,Yes,2007-11-16,40.3,18.0,195,3250,FEMALE,8.36821,-25.33302,
PAL0708,4,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N2A2,Yes,2007-11-16,,,,,,,,"Adult not sampled."
PAL0708,5,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N3A1,Yes,2007-11-16,36.7,19.3,193,3450,FEMALE,8.76651,-25.32426,
PAL0708,6,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N3A2,Yes,2007-11-16,39.3,20.6,190,3650,MALE,8.66496,-25.29805,
PAL0708,7,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,2007-11-15,38.9,17.8,181,3625,FEMALE,9.18718,-25.21799,"Nest never observed with full clutch."
PAL0708,8,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N4A2,No,2007-11-15,39.2,19.6,195,4675,MALE,9.46060,-24.89958,"Nest never observed with full clutch."
PAL0708,9,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N5A1,Yes,2007-11-09,34.1,18.1,193,3475,,,,"No blood sample obtained."
PAL0708,10,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N5A2,Yes,2007-11-09,42.0,20.2,190,4250,,9.13362,-25.09368,"No blood sample obtained for sexing."
PAL0708,11,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N6A1,Yes,2007-11-09,37.8,17.1,186,3300,,8.63243,-25.21315,"No blood sample obtained for sexing."
PAL0708,12,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N6A2,Yes,2007-11-09,37.8,17.3,180,3700,,,,"No blood sample obtained."
PAL0708,13,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,2007-11-15,41.1,17.6,182,3200,FEMALE,,,"Not enough blood for isotopes."
PAL0708,14,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,2007-11-15,38.6,21.2,191,3800,MALE,,,"Not enough blood for isotopes."
PAL0708,15,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N8A1,Yes,2007-11-16,34.6,21.1,198,4400,MALE,8.55583,-25.22588,
PAL0708,16,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N8A2,Yes,2007-11-16,36.6,17.8,185,3700,FEMALE,,,"Not enough blood for isotopes."
PAL0708,17,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N9A1,Yes,2007-11-12,38.7,19.0,195,3450,FEMALE,9.18528,-25.06691,
PAL0708,18,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N9A2,Yes,2007-11-12,42.5,20.7,197,4500,MALE,8.67538,-25.13993,
PAL0708,19,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,2007-11-16,34.4,18.4,184,3325,FEMALE,8.47827,-25.23319,
PAL0708,20,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Torgersen,"Adult, 1 Egg Stage",N10A2,Yes,2007-11-16,46.0,21.5,194,4200,MALE,9.11616,-24.77227,
PAL0708,21,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,Yes,2007-11-12,37.8,18.3,174,3400,FEMALE,8.73762,-25.09383,
PAL0708,22,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,Yes,2007-11-12,37.7,18.7,180,3600,MALE,8.66271,-25.06390,
PAL0708,23,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,2007-11-12,35.9,19.2,189,3800,FEMALE,9.22286,-25.03474,
PAL0708,24,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,2007-11-12,38.2,18.1,185,3950,MALE,8.43423,-25.22664,
PAL0708,25,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2007-11-10,38.8,17.2,180,3800,MALE,9.63954,-25.29856,
PAL0708,26,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2007-11-10,35.3,18.9,187,3800,FEMALE,9.21292,-24.36130,
PAL0708,27,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,2007-11-12,40.6,18.6,183,3550,MALE,8.93997,-25.36288,
PAL0708,28,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,2007-11-12,40.5,17.9,187,3200,FEMALE,8.08138,-25.49448,
PAL0708,29,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,2007-11-10,37.9,18.6,172,3150,FEMALE,8.38404,-25.19837,"Nest never observed with full clutch."
PAL0708,30,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,2007-11-10,40.5,18.9,180,3950,MALE,8.90027,-25.11609,"Nest never observed with full clutch."
PAL0708,31,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,2007-11-09,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223,
PAL0708,32,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,2007-11-09,37.2,18.1,178,3900,MALE,9.72764,-25.01020,
PAL0708,33,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,2007-11-09,39.5,17.8,188,3300,FEMALE,9.66523,-25.06020,
PAL0708,34,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,2007-11-09,40.9,18.9,184,3900,MALE,8.79665,-25.14591,
PAL0708,35,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,2007-11-16,36.4,17.0,195,3325,FEMALE,9.17847,-25.23061,
PAL0708,36,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,2007-11-16,39.2,21.1,196,4150,MALE,9.15308,-25.03469,
PAL0708,37,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,2007-11-16,38.8,20.0,190,3950,MALE,9.18985,-25.12255,
PAL0708,38,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,2007-11-16,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523,
PAL0708,39,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,2007-11-13,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169,"Nest never observed with full clutch."
PAL0708,40,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,2007-11-13,39.8,19.1,184,4650,MALE,,,"Nest never observed with full clutch. Not enough blood for isotopes."
PAL0708,41,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,2007-11-16,36.5,18.0,182,3150,FEMALE,9.68933,-24.42280,
PAL0708,42,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,2007-11-16,40.8,18.4,195,3900,MALE,,,"Not enough blood for isotopes."
PAL0708,43,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,2007-11-19,36.0,18.5,186,3100,FEMALE,9.50772,-25.03492,
PAL0708,44,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,2007-11-19,44.1,19.7,196,4400,MALE,9.23720,-24.52698,
PAL0708,45,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,2007-11-16,37.0,16.9,185,3000,FEMALE,9.36392,-25.01745,
PAL0708,46,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,2007-11-16,39.6,18.8,190,4600,MALE,9.49106,-24.10255,
PAL0708,47,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,2007-11-13,41.1,19.0,182,3425,MALE,,,"Not enough blood for isotopes."
PAL0708,48,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N29A2,Yes,2007-11-13,37.5,18.9,179,2975,,,,"Sexing primers did not amplify. Not enough blood for isotopes."
PAL0708,49,"Adelie Penguin (Pygoscelis adeliae)",Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,2007-11-13,36.0,17.9,190,3450,FEMALE,9.51784,-25.07683,
