studyName,"Sample Number",Species,Region,Island,Stage,"Individual ID","Clutch Completion","Date Egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)",Sex,"Delta 15 N (o/oo)","Delta 13 C (o/oo)",Comments
PAL0708,1,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,2007-11-19,46.5,17.9,192,3500,FEMALE,9.03935,-24.30229,"Nest never observed with full clutch."
PAL0708,2,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,2007-11-19,50.0,19.5,196,3900,MALE,8.92069,-24.23592,"Nest never observed with full clutch."
PAL0708,3,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N62A1,Yes,2007-11-26,51.3,19.2,193,3650,MALE,9.29078,-24.75570,
PAL0708,4,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N62A2,Yes,2007-11-26,45.4,18.7,188,3525,FEMALE,8.64701,-24.62717,
PAL0708,5,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N64A1,Yes,2007-11-21,52.7,19.8,197,3725,MALE,9.00642,-24.61867,
PAL0708,6,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N64A2,Yes,2007-11-21,45.2,17.8,198,3950,FEMALE,8.88942,-24.49433,
PAL0708,7,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N66A1,Yes,2007-11-28,46.1,18.2,178,3250,FEMALE,8.85664,-24.55644,
PAL0708,8,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N66A2,Yes,2007-11-28,51.3,18.2,197,3750,MALE,8.63701,-24.84059,
PAL0708,9,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N67A1,Yes,2007-11-21,46.0,18.9,195,4150,FEMALE,8.47173,-24.29229,
PAL0708,10,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N67A2,Yes,2007-11-21,51.3,19.9,198,3700,MALE,8.79581,-24.36088,
